t,Hexatic,Circle-order,Frac-6-fold
0.65,
0.68,
0.70,
0.75,0.489104,0.0446667,0.4788
0.80,0.490241,0.0469333,0.5204
0.85,0.49132,0.0465333,0.5136
0.90,0.486689,0.044,0.4952
1.00,0.48444,0.0410667,0.4936
1.20,0.4945,0.0426667,0.4716
1.40,0.490876,0.0389333,0.444
1.60,0.503812,0.0337333,0.4136
2.00,0.505448,0.0253333,0.3352
2.50,0.50825,0.018,0.2636
3.00,0.522674,0.01,0.1936
4.00,0.520451,0.0092,0.1152
5.00,0.532192,0.00613333,0.0624
