t,Hexatic,Circle-order,Frac-6-fold
1.60,
1.62,
1.65,
1.68,
1.70,0.407077,0.0056,0.3156
1.75,0.414984,0.00426667,0.2984
1.80,0.420422,0.00386667,0.3024
1.90,0.421887,0.00533333,0.3044
1.95,0.410582,0.00386667,0.3036
2.10,0.417605,0.00546667,0.2916
2.20,0.4207,0.006,0.2768
2.50,0.421943,0.00346667,0.2756
3.00,0.421509,0.0028,0.2348
3.50,0.433022,0.00213333,0.1984
4.00,0.440248,0.0012,0.18
5.00,0.455684,0.00146667,0.1088
